"name" "district" "lat" "lon" "lead" "ideo" "sess"
"44" "Alphonzo Bell" "CA-28" "34.2497547105175" "-118.291019026334" 0.654924485212 0.447009818221 93
"45" "Jaime Benítez" "PR-00" "18.2156983373113" "-66.4146667840265" 0.418290613754 0.470706743802 93
"46" "Charles Bennett" "FL-03" "29.8356349111658" "-82.7367891944301" 0.79928925233 0.606982090954 93
"47" "Robert Bergland" "MN-07" "46.5949369154964" "-95.6874021626726" 0.474267242691 0.512097808206 93
"48" "Tom Bevill" "AL-04" "34.1196659889658" "-87.20027649199" 0.0573540210621 0.789436531117 93
"49" "Mario Biaggi" "NY-10" "40.6975602601125" "-74.0013849270863" 0.866426446918 0.509736697137 93
"50" "Edward Biester" "PA-08" "40.3336426943061" "-75.1519567607386" 0.61092420273 0.606247897262 93
"51" "Jonathan Bingham" "NY-22" "42.8752621755153" "-75.6591292492674" 0.866758763645 0.168985895006 93
"52" "Benjamin Blackburn" "GA-04" "33.6968442519195" "-84.0499616498015" 0.614246967609 0.844555431455 93
"53" "John Blatnik" "MN-08" "47.2225764590475" "-92.9380072050481" 0.689296106585 0.570192142096 93
"54" "Corinne Boggs" "LA-02" "30.0366902369515" "-90.6100693901645" 0.0736426750014 0.571287631003 93
"55" "Edward Boland" "MA-02" "42.38580288677" "-72.1178428119362" 0.213233849969 0.492720039688 93
"56" "Richard Bolling" "MO-05" "39.1416180377317" "-93.7715349477531" 0.0556202030516 0.471505662412 93
"57" "David Bowen" "MS-02" "33.20052702007" "-90.3458110895803" 0.438233641321 0.699986104889 93
"58" "John Brademas" "IN-03" "41.1019659936595" "-85.2314787228069" 0.946133300236 0.369313784544 93
"59" "Frank Brasco" "NY-11" "40.5674246975722" "-74.1249675355988" 0.161691398777 0.330955029991 93
"60" "William Bray" "IN-06" "39.4812408394759" "-85.3629353776345" 0.394747563128 0.671894491317 93
"61" "John Breckinridge" "KY-06" "38.0483385240011" "-84.1626638033562" 0.272979111446 0.486100859625 93
"62" "Jack Brinkley" "GA-03" "33.1482786710304" "-84.733181681986" 0.179210067465 0.600463085863 93
"63" "Jack Brooks" "TX-09" "29.6451145731451" "-95.4955510418971" 0.495387247786 0.536959235642 93
"64" "William Broomfield" "MI-19" "na" "na" 0.436869052715 0.623456794897 93
"65" "Donald Brotzman" "CO-02" "40.1451748108177" "-105.729859042332" 0.836209242035 0.593098491698 93
"66" "Clarence Brown" "OH-07" "40.7073353251764" "-82.0590185155896" 0.354976021693 0.572765795989 93
"67" "Garry Brown" "MI-03" "42.7172241104374" "-85.2442300469841" 0.595304608799 0.645233732592 93
"68" "James Broyhill" "NC-10" "35.4319173597144" "-81.6349392275802" 0.346658267124 0.691557006474 93
"69" "Joel Broyhill" "VA-10" "39.0836096910137" "-77.8368528968857" 0.38082958973 0.718302921104 93
"70" "John Buchanan" "AL-06" "33.2633795814094" "-86.7129813389673" 0.38843832258 0.683596530593 93
